Distance,Gender,Category,TimeFrom,TimeTo,Points
5,Male,Junior,0 days 00:00:00,0 days 00:19:07,10
5,Male,Junior,0 days 00:19:08,0 days 00:20:22,9
5,Male,Junior,0 days 00:20:23,0 days 00:21:45,8
5,Male,Junior,0 days 00:21:46,0 days 00:23:23,7
5,Male,Junior,0 days 00:23:24,0 days 00:25:13,6
5,Male,Junior,0 days 00:25:14,0 days 00:27:22,5
5,Male,Junior,0 days 00:27:23,0 days 00:30:00,4
5,Male,Junior,0 days 00:30:01,0 days 00:33:15,3
5,Male,Junior,0 days 00:33:16,0 days 00:37:07,2
5,Male,Junior,0 days 00:37:08,106751 days 23:47:16.854775807,1
5,Male,Senior,0 days 00:00:00,0 days 00:19:07,10
5,Male,Senior,0 days 00:19:08,0 days 00:20:22,9
5,Male,Senior,0 days 00:20:23,0 days 00:21:45,8
5,Male,Senior,0 days 00:21:46,0 days 00:23:23,7
5,Male,Senior,0 days 00:23:24,0 days 00:25:13,6
5,Male,Senior,0 days 00:25:14,0 days 00:27:22,5
5,Male,Senior,0 days 00:27:23,0 days 00:30:00,4
5,Male,Senior,0 days 00:30:01,0 days 00:33:15,3
5,Male,Senior,0 days 00:33:16,0 days 00:37:07,2
5,Male,Senior,0 days 00:37:08,106751 days 23:47:16.854775807,1
5,Male,Veteran,0 days 00:00:00,0 days 00:19:45,10
5,Male,Veteran,0 days 00:19:46,0 days 00:21:08,9
5,Male,Veteran,0 days 00:21:09,0 days 00:22:30,8
5,Male,Veteran,0 days 00:22:31,0 days 00:24:15,7
5,Male,Veteran,0 days 00:24:16,0 days 00:26:08,6
5,Male,Veteran,0 days 00:26:09,0 days 00:28:22,5
5,Male,Veteran,0 days 00:28:23,0 days 00:31:08,4
5,Male,Veteran,0 days 00:31:09,0 days 00:34:22,3
5,Male,Veteran,0 days 00:34:23,0 days 00:38:30,2
5,Male,Veteran,0 days 00:38:31,106751 days 23:47:16.854775807,1
5,Male,Master,0 days 00:00:00,0 days 00:21:30,10
5,Male,Master,0 days 00:21:31,0 days 00:22:52,9
5,Male,Master,0 days 00:22:53,0 days 00:24:22,8
5,Male,Master,0 days 00:24:23,0 days 00:26:15,7
5,Male,Master,0 days 00:26:16,0 days 00:28:22,6
5,Male,Master,0 days 00:28:23,0 days 00:30:52,5
5,Male,Master,0 days 00:30:53,0 days 00:33:45,4
5,Male,Master,0 days 00:33:46,0 days 00:37:22,3
5,Male,Master,0 days 00:37:23,0 days 00:41:45,2
5,Male,Master,0 days 00:41:46,106751 days 23:47:16.854775807,1
5,Male,Grand Master,0 days 00:00:00,0 days 00:23:23,10
5,Male,Grand Master,0 days 00:23:24,0 days 00:25:00,9
5,Male,Grand Master,0 days 00:25:01,0 days 00:26:37,8
5,Male,Grand Master,0 days 00:26:38,0 days 00:28:38,7
5,Male,Grand Master,0 days 00:28:39,0 days 00:31:00,6
5,Male,Grand Master,0 days 00:31:01,0 days 00:33:37,5
5,Male,Grand Master,0 days 00:33:38,0 days 00:36:53,4
5,Male,Grand Master,0 days 00:36:53,0 days 00:40:45,3
5,Male,Grand Master,0 days 00:40:46,0 days 00:45:30,2
5,Male,Grand Master,0 days 00:45:31,106751 days 23:47:16.854775807,1
5,Male,Great Grand Master,0 days 00:00:00,0 days 00:25:53,10
5,Male,Great Grand Master,0 days 00:25:54,0 days 00:27:30,9
5,Male,Great Grand Master,0 days 00:27:31,0 days 00:29:22,8
5,Male,Great Grand Master,0 days 00:29:23,0 days 00:31:38,7
5,Male,Great Grand Master,0 days 00:31:39,0 days 00:34:07,6
5,Male,Great Grand Master,0 days 00:34:08,0 days 00:37:07,5
5,Male,Great Grand Master,0 days 00:37:08,0 days 00:40:37,4
5,Male,Great Grand Master,0 days 00:40:38,0 days 00:44:52,3
5,Male,Great Grand Master,0 days 00:44:53,0 days 00:50:15,2
5,Male,Great Grand Master,0 days 00:50:16,106751 days 23:47:16.854775807,1
5,Male,Great Grand Master,0 days 00:00:00,0 days 00:30:37,10
5,Male,Great Grand Master,0 days 00:30:38,0 days 00:32:37,9
5,Male,Great Grand Master,0 days 00:32:38,0 days 00:34:53,8
5,Male,Great Grand Master,0 days 00:34:53,0 days 00:37:30,7
5,Male,Great Grand Master,0 days 00:37:31,0 days 00:40:30,6
5,Male,Great Grand Master,0 days 00:40:31,0 days 00:44:00,5
5,Male,Great Grand Master,0 days 00:44:01,0 days 00:48:15,4
5,Male,Great Grand Master,0 days 00:48:16,0 days 00:53:15,3
5,Male,Great Grand Master,0 days 00:53:16,0 days 00:59:37,2
5,Male,Great Grand Master,0 days 00:59:38,106751 days 23:47:16.854775807,1
10,Male,Junior,0 days 00:00:00,0 days 00:38:15,10
10,Male,Junior,0 days 00:38:16,0 days 00:40:45,9
10,Male,Junior,0 days 00:40:46,0 days 00:43:30,8
10,Male,Junior,0 days 00:43:31,0 days 00:46:45,7
10,Male,Junior,0 days 00:46:46,0 days 00:50:25,6
10,Male,Junior,0 days 00:50:26,0 days 00:54:45,5
10,Male,Junior,0 days 00:54:46,0 days 01:00:00,4
10,Male,Junior,0 days 01:00:01,0 days 01:06:30,3
10,Male,Junior,0 days 01:06:31,0 days 01:14:15,2
10,Male,Junior,0 days 01:14:16,106751 days 23:47:16.854775807,1
10,Male,Senior,0 days 00:00:00,0 days 00:38:15,10
10,Male,Senior,0 days 00:38:16,0 days 00:40:45,9
10,Male,Senior,0 days 00:40:46,0 days 00:43:30,8
10,Male,Senior,0 days 00:43:31,0 days 00:46:45,7
10,Male,Senior,0 days 00:46:46,0 days 00:50:25,6
10,Male,Senior,0 days 00:50:26,0 days 00:54:45,5
10,Male,Senior,0 days 00:54:46,0 days 01:00:00,4
10,Male,Senior,0 days 01:00:01,0 days 01:06:30,3
10,Male,Senior,0 days 01:06:31,0 days 01:14:15,2
10,Male,Senior,0 days 01:14:16,106751 days 23:47:16.854775807,1
10,Male,Veteran,0 days 00:00:00,0 days 00:39:30,10
10,Male,Veteran,0 days 00:39:31,0 days 00:42:15,9
10,Male,Veteran,0 days 00:42:16,0 days 00:45:00,8
10,Male,Veteran,0 days 00:45:01,0 days 00:48:30,7
10,Male,Veteran,0 days 00:48:31,0 days 00:52:15,6
10,Male,Veteran,0 days 00:52:16,0 days 00:56:45,5
10,Male,Veteran,0 days 00:56:46,0 days 01:02:15,4
10,Male,Veteran,0 days 01:02:16,0 days 01:08:45,3
10,Male,Veteran,0 days 01:08:46,0 days 01:17:00,2
10,Male,Veteran,0 days 01:17:01,106751 days 23:47:16.854775807,1
10,Male,Master,0 days 00:00:00,0 days 00:43:00,10
10,Male,Master,0 days 00:43:01,0 days 00:45:45,9
10,Male,Master,0 days 00:45:46,0 days 00:48:45,8
10,Male,Master,0 days 00:48:46,0 days 00:52:30,7
10,Male,Master,0 days 00:52:31,0 days 00:56:45,6
10,Male,Master,0 days 00:56:46,0 days 01:01:45,5
10,Male,Master,0 days 01:01:46,0 days 01:07:30,4
10,Male,Master,0 days 01:07:31,0 days 01:14:45,3
10,Male,Master,0 days 01:14:46,0 days 01:23:30,2
10,Male,Master,0 days 01:23:31,106751 days 23:47:16.854775807,1
10,Male,Grand Master,0 days 00:00:00,0 days 00:46:45,10
10,Male,Grand Master,0 days 00:46:46,0 days 00:50:00,9
10,Male,Grand Master,0 days 00:50:01,0 days 00:53:15,8
10,Male,Grand Master,0 days 00:53:16,0 days 00:57:15,7
10,Male,Grand Master,0 days 00:57:16,0 days 01:02:00,6
10,Male,Grand Master,0 days 01:02:01,0 days 01:07:15,5
10,Male,Grand Master,0 days 01:07:16,0 days 01:13:45,4
10,Male,Grand Master,0 days 01:13:46,0 days 01:21:30,3
10,Male,Grand Master,0 days 01:21:31,0 days 01:31:00,2
10,Male,Grand Master,0 days 01:31:01,106751 days 23:47:16.854775807,1
10,Male,Great Grand Master,0 days 00:00:00,0 days 00:51:45,10
10,Male,Great Grand Master,0 days 00:51:46,0 days 00:55:00,9
10,Male,Great Grand Master,0 days 00:55:01,0 days 00:58:45,8
10,Male,Great Grand Master,0 days 00:58:46,0 days 01:03:15,7
10,Male,Great Grand Master,0 days 01:03:16,0 days 01:08:15,6
10,Male,Great Grand Master,0 days 01:08:16,0 days 01:14:15,5
10,Male,Great Grand Master,0 days 01:14:16,0 days 01:21:15,4
10,Male,Great Grand Master,0 days 01:21:16,0 days 01:29:45,3
10,Male,Great Grand Master,0 days 01:29:46,0 days 01:40:30,2
10,Male,Great Grand Master,0 days 01:40:31,106751 days 23:47:16.854775807,1
10,Male,Great Grand Master,0 days 00:00:00,0 days 01:01:15,10
10,Male,Great Grand Master,0 days 01:01:16,0 days 01:05:15,9
10,Male,Great Grand Master,0 days 01:05:16,0 days 01:09:45,8
10,Male,Great Grand Master,0 days 01:09:46,0 days 01:15:00,7
10,Male,Great Grand Master,0 days 01:15:01,0 days 01:21:00,6
10,Male,Great Grand Master,0 days 01:21:01,0 days 01:28:00,5
10,Male,Great Grand Master,0 days 01:28:01,0 days 01:36:30,4
10,Male,Great Grand Master,0 days 01:36:31,0 days 01:46:30,3
10,Male,Great Grand Master,0 days 01:46:31,0 days 01:59:15,2
10,Male,Great Grand Master,0 days 01:59:16,106751 days 23:47:16.854775807,1
13,Male,Junior,0 days 00:00:00,0 days 00:49:14,10
13,Male,Junior,0 days 00:49:15,0 days 00:52:27,9
13,Male,Junior,0 days 00:52:28,0 days 00:56:00,8
13,Male,Junior,0 days 00:56:01,0 days 01:00:11,7
13,Male,Junior,0 days 01:00:12,0 days 01:04:54,6
13,Male,Junior,0 days 01:04:55,0 days 01:10:28,5
13,Male,Junior,0 days 01:10:29,0 days 01:17:14,4
13,Male,Junior,0 days 01:17:15,0 days 01:25:36,3
13,Male,Junior,0 days 01:25:37,0 days 01:35:34,2
13,Male,Junior,0 days 01:35:35,106751 days 23:47:16.854775807,1
13,Male,Senior,0 days 00:00:00,0 days 00:49:14,10
13,Male,Senior,0 days 00:49:15,0 days 00:52:27,9
13,Male,Senior,0 days 00:52:28,0 days 00:56:00,8
13,Male,Senior,0 days 00:56:01,0 days 01:00:11,7
13,Male,Senior,0 days 01:00:12,0 days 01:04:54,6
13,Male,Senior,0 days 01:04:55,0 days 01:10:28,5
13,Male,Senior,0 days 01:10:29,0 days 01:17:14,4
13,Male,Senior,0 days 01:17:15,0 days 01:25:36,3
13,Male,Senior,0 days 01:25:37,0 days 01:35:34,2
13,Male,Senior,0 days 01:35:35,106751 days 23:47:16.854775807,1
13,Male,Veteran,0 days 00:00:00,0 days 00:50:51,10
13,Male,Veteran,0 days 00:50:52,0 days 00:54:10,9
13,Male,Veteran,0 days 00:54:11,0 days 00:57:49,8
13,Male,Veteran,0 days 00:57:50,0 days 01:02:09,7
13,Male,Veteran,0 days 01:02:10,0 days 01:07:01,6
13,Male,Veteran,0 days 01:07:02,0 days 01:12:47,5
13,Male,Veteran,0 days 01:12:48,0 days 01:19:45,4
13,Male,Veteran,0 days 01:19:46,0 days 01:28:24,3
13,Male,Veteran,0 days 01:28:25,0 days 01:38:42,2
13,Male,Veteran,0 days 01:38:43,106751 days 23:47:16.854775807,1
13,Male,Master,0 days 00:00:00,0 days 00:55:21,10
13,Male,Master,0 days 00:55:22,0 days 00:58:58,9
13,Male,Master,0 days 00:58:59,0 days 01:02:57,8
13,Male,Master,0 days 01:02:58,0 days 01:07:39,7
13,Male,Master,0 days 01:07:40,0 days 01:12:57,6
13,Male,Master,0 days 01:12:58,0 days 01:19:14,5
13,Male,Master,0 days 01:19:15,0 days 01:26:49,4
13,Male,Master,0 days 01:26:50,0 days 01:36:14,3
13,Male,Master,0 days 01:36:15,0 days 01:47:27,2
13,Male,Master,0 days 01:47:28,106751 days 23:47:16.854775807,1
13,Male,Grand Master,0 days 00:00:00,0 days 01:00:11,10
13,Male,Grand Master,0 days 01:00:12,0 days 01:04:07,9
13,Male,Grand Master,0 days 01:04:08,0 days 01:08:26,8
13,Male,Grand Master,0 days 01:08:27,0 days 01:13:33,7
13,Male,Grand Master,0 days 01:13:34,0 days 01:19:19,6
13,Male,Grand Master,0 days 01:19:20,0 days 01:26:08,5
13,Male,Grand Master,0 days 01:26:09,0 days 01:34:24,4
13,Male,Grand Master,0 days 01:34:25,0 days 01:44:37,3
13,Male,Grand Master,0 days 01:44:38,0 days 01:56:49,2
13,Male,Grand Master,0 days 01:56:50,106751 days 23:47:16.854775807,1
13,Male,Great Grand Master,0 days 00:00:00,0 days 01:06:37,10
13,Male,Great Grand Master,0 days 01:06:38,0 days 01:10:58,9
13,Male,Great Grand Master,0 days 01:10:59,0 days 01:15:45,8
13,Male,Great Grand Master,0 days 01:15:46,0 days 01:21:25,7
13,Male,Great Grand Master,0 days 01:21:26,0 days 01:27:48,6
13,Male,Great Grand Master,0 days 01:27:49,0 days 01:35:21,5
13,Male,Great Grand Master,0 days 01:35:22,0 days 01:44:29,4
13,Male,Great Grand Master,0 days 01:44:30,0 days 01:55:49,3
13,Male,Great Grand Master,0 days 01:55:50,0 days 02:09:18,2
13,Male,Great Grand Master,0 days 02:09:19,106751 days 23:47:16.854775807,1
13,Male,Great Grand Master,0 days 00:00:00,0 days 01:18:50,10
13,Male,Great Grand Master,0 days 01:18:51,0 days 01:24:00,9
13,Male,Great Grand Master,0 days 01:24:01,0 days 01:29:40,8
13,Male,Great Grand Master,0 days 01:29:41,0 days 01:36:22,7
13,Male,Great Grand Master,0 days 01:36:23,0 days 01:43:55,6
13,Male,Great Grand Master,0 days 01:43:56,0 days 01:52:51,5
13,Male,Great Grand Master,0 days 01:52:52,0 days 02:03:40,4
13,Male,Great Grand Master,0 days 02:03:41,0 days 02:17:04,3
13,Male,Great Grand Master,0 days 02:17:05,0 days 02:33:03,2
13,Male,Great Grand Master,0 days 02:33:04,106751 days 23:47:16.854775807,1
15,Male,Junior,0 days 00:00:00,0 days 00:57:23,10
15,Male,Junior,0 days 00:57:23,0 days 01:01:08,9
15,Male,Junior,0 days 01:01:09,0 days 01:05:15,8
15,Male,Junior,0 days 01:05:16,0 days 01:10:08,7
15,Male,Junior,0 days 01:10:09,0 days 01:15:38,6
15,Male,Junior,0 days 01:15:39,0 days 01:22:07,5
15,Male,Junior,0 days 01:22:08,0 days 01:30:00,4
15,Male,Junior,0 days 01:30:01,0 days 01:39:45,3
15,Male,Junior,0 days 01:39:46,0 days 01:51:22,2
15,Male,Junior,0 days 01:51:24,106751 days 23:47:16.854775807,1
15,Male,Senior,0 days 00:00:00,0 days 00:57:23,10
15,Male,Senior,0 days 00:57:23,0 days 01:01:08,9
15,Male,Senior,0 days 01:01:09,0 days 01:05:15,8
15,Male,Senior,0 days 01:05:16,0 days 01:10:08,7
15,Male,Senior,0 days 01:10:09,0 days 01:15:38,6
15,Male,Senior,0 days 01:15:39,0 days 01:22:07,5
15,Male,Senior,0 days 01:22:08,0 days 01:30:00,4
15,Male,Senior,0 days 01:30:01,0 days 01:39:45,3
15,Male,Senior,0 days 01:39:46,0 days 01:51:22,2
15,Male,Senior,0 days 01:51:24,106751 days 23:47:16.854775807,1
15,Male,Veteran,0 days 00:00:00,0 days 00:59:15,10
15,Male,Veteran,0 days 00:59:16,0 days 01:03:23,9
15,Male,Veteran,0 days 01:03:24,0 days 01:07:30,8
15,Male,Veteran,0 days 01:07:31,0 days 01:12:45,7
15,Male,Veteran,0 days 01:12:46,0 days 01:18:23,6
15,Male,Veteran,0 days 01:18:24,0 days 01:25:08,5
15,Male,Veteran,0 days 01:25:09,0 days 01:33:23,4
15,Male,Veteran,0 days 01:33:24,0 days 01:43:07,3
15,Male,Veteran,0 days 01:43:09,0 days 01:55:30,2
15,Male,Veteran,0 days 01:55:31,106751 days 23:47:16.854775807,1
15,Male,Master,0 days 00:00:00,0 days 01:04:30,10
15,Male,Master,0 days 01:04:31,0 days 01:08:38,9
15,Male,Master,0 days 01:08:38,0 days 01:13:08,8
15,Male,Master,0 days 01:13:08,0 days 01:18:45,7
15,Male,Master,0 days 01:18:46,0 days 01:25:08,6
15,Male,Master,0 days 01:25:09,0 days 01:32:37,5
15,Male,Master,0 days 01:32:38,0 days 01:41:15,4
15,Male,Master,0 days 01:41:16,0 days 01:52:07,3
15,Male,Master,0 days 01:52:08,0 days 02:05:15,2
15,Male,Master,0 days 02:05:16,106751 days 23:47:16.854775807,1
15,Male,Grand Master,0 days 00:00:00,0 days 01:10:08,10
15,Male,Grand Master,0 days 01:10:09,0 days 01:15:00,9
15,Male,Grand Master,0 days 01:15:01,0 days 01:19:53,8
15,Male,Grand Master,0 days 01:19:53,0 days 01:25:53,7
15,Male,Grand Master,0 days 01:25:54,0 days 01:33:00,6
15,Male,Grand Master,0 days 01:33:01,0 days 01:40:52,5
15,Male,Grand Master,0 days 01:40:53,0 days 01:50:38,4
15,Male,Grand Master,0 days 01:50:39,0 days 02:02:15,3
15,Male,Grand Master,0 days 02:02:16,0 days 02:16:30,2
15,Male,Grand Master,0 days 02:16:31,106751 days 23:47:16.854775807,1
15,Male,Great Grand Master,0 days 00:00:00,0 days 01:17:38,10
15,Male,Great Grand Master,0 days 01:17:39,0 days 01:22:30,9
15,Male,Great Grand Master,0 days 01:22:31,0 days 01:28:08,8
15,Male,Great Grand Master,0 days 01:28:09,0 days 01:34:52,7
15,Male,Great Grand Master,0 days 01:34:54,0 days 01:42:22,6
15,Male,Great Grand Master,0 days 01:42:23,0 days 01:51:22,5
15,Male,Great Grand Master,0 days 01:51:24,0 days 02:01:53,4
15,Male,Great Grand Master,0 days 02:01:54,0 days 02:14:37,3
15,Male,Great Grand Master,0 days 02:14:38,0 days 02:30:45,2
15,Male,Great Grand Master,0 days 02:30:46,106751 days 23:47:16.854775807,1
15,Male,Great Grand Master,0 days 00:00:00,0 days 01:31:52,10
15,Male,Great Grand Master,0 days 01:31:54,0 days 01:37:52,9
15,Male,Great Grand Master,0 days 01:37:53,0 days 01:44:37,8
15,Male,Great Grand Master,0 days 01:44:39,0 days 01:52:30,7
15,Male,Great Grand Master,0 days 01:52:31,0 days 02:01:30,6
15,Male,Great Grand Master,0 days 02:01:31,0 days 02:12:00,5
15,Male,Great Grand Master,0 days 02:12:01,0 days 02:24:45,4
15,Male,Great Grand Master,0 days 02:24:46,0 days 02:39:45,3
15,Male,Great Grand Master,0 days 02:39:46,0 days 02:58:52,2
15,Male,Great Grand Master,0 days 02:58:54,106751 days 23:47:16.854775807,1
21,Male,Junior,0 days 00:00:00,0 days 01:23:30,10
21,Male,Junior,0 days 01:23:31,0 days 01:28:45,9
21,Male,Junior,0 days 01:28:46,0 days 01:35:00,8
21,Male,Junior,0 days 01:35:01,0 days 01:42:00,7
21,Male,Junior,0 days 01:42:01,0 days 01:50:15,6
21,Male,Junior,0 days 01:50:16,0 days 01:59:45,5
21,Male,Junior,0 days 01:59:46,0 days 02:11:15,4
21,Male,Junior,0 days 02:11:16,0 days 02:25:00,3
21,Male,Junior,0 days 02:25:01,0 days 02:42:15,2
21,Male,Junior,0 days 02:42:16,106751 days 23:47:16.854775807,1
21,Male,Senior,0 days 00:00:00,0 days 01:23:30,10
21,Male,Senior,0 days 01:23:31,0 days 01:28:45,9
21,Male,Senior,0 days 01:28:46,0 days 01:35:00,8
21,Male,Senior,0 days 01:35:01,0 days 01:42:00,7
21,Male,Senior,0 days 01:42:01,0 days 01:50:15,6
21,Male,Senior,0 days 01:50:16,0 days 01:59:45,5
21,Male,Senior,0 days 01:59:46,0 days 02:11:15,4
21,Male,Senior,0 days 02:11:16,0 days 02:25:00,3
21,Male,Senior,0 days 02:25:01,0 days 02:42:15,2
21,Male,Senior,0 days 02:42:16,106751 days 23:47:16.854775807,1
21,Male,Veteran,0 days 00:00:00,0 days 01:25:45,10
21,Male,Veteran,0 days 01:25:46,0 days 01:31:15,9
21,Male,Veteran,0 days 01:31:16,0 days 01:37:30,8
21,Male,Veteran,0 days 01:37:31,0 days 01:44:45,7
21,Male,Veteran,0 days 01:44:46,0 days 01:53:15,6
21,Male,Veteran,0 days 01:53:16,0 days 02:03:15,5
21,Male,Veteran,0 days 02:03:16,0 days 02:15:00,4
21,Male,Veteran,0 days 02:15:01,0 days 02:29:15,3
21,Male,Veteran,0 days 02:29:16,0 days 02:46:45,2
21,Male,Veteran,0 days 02:46:46,106751 days 23:47:16.854775807,1
21,Male,Master,0 days 00:00:00,0 days 01:33:00,10
21,Male,Master,0 days 01:33:01,0 days 01:39:00,9
21,Male,Master,0 days 01:39:01,0 days 01:46:00,8
21,Male,Master,0 days 01:46:01,0 days 01:53:45,7
21,Male,Master,0 days 01:53:46,0 days 02:03:00,6
21,Male,Master,0 days 02:03:01,0 days 02:13:45,5
21,Male,Master,0 days 02:13:46,0 days 02:26:30,4
21,Male,Master,0 days 02:26:31,0 days 02:41:45,3
21,Male,Master,0 days 02:41:46,106751 days 23:47:16.854775807,1
21,Male,Grand Master,0 days 00:00:00,0 days 01:42:00,10
21,Male,Grand Master,0 days 01:42:01,0 days 01:48:30,9
21,Male,Grand Master,0 days 01:48:31,0 days 01:56:00,8
21,Male,Grand Master,0 days 01:56:01,0 days 02:02:45,7
21,Male,Grand Master,0 days 02:02:46,0 days 02:14:30,6
21,Male,Grand Master,0 days 02:14:31,0 days 02:26:15,5
21,Male,Grand Master,0 days 02:26:16,0 days 02:40:15,4
21,Male,Grand Master,0 days 02:40:16,0 days 02:57:15,3
21,Male,Grand Master,0 days 02:57:16,106751 days 23:47:16.854775807,1
21,Male,Great Grand Master,0 days 00:00:00,0 days 01:52:45,10
21,Male,Great Grand Master,0 days 01:52:46,0 days 02:00:00,9
21,Male,Great Grand Master,0 days 02:00:01,0 days 02:08:15,8
21,Male,Great Grand Master,0 days 02:08:16,0 days 02:17:45,7
21,Male,Great Grand Master,0 days 02:17:46,0 days 02:28:45,6
21,Male,Great Grand Master,0 days 02:28:46,0 days 02:41:45,5
21,Male,Great Grand Master,0 days 02:41:46,0 days 02:57:15,4
21,Male,Great Grand Master,0 days 02:57:16,0 days 03:16:00,3
21,Male,Great Grand Master,0 days 03:16:01,106751 days 23:47:16.854775807,1
21,Male,Great Grand Master,0 days 00:00:00,0 days 02:13:00,10
21,Male,Great Grand Master,0 days 02:13:01,0 days 02:21:30,9
21,Male,Great Grand Master,0 days 02:21:31,0 days 02:31:15,8
21,Male,Great Grand Master,0 days 02:31:16,0 days 02:42:30,7
21,Male,Great Grand Master,0 days 02:42:31,0 days 02:55:30,6
21,Male,Great Grand Master,0 days 02:55:31,106751 days 23:47:16.854775807,1
26,Male,Junior,0 days 00:00:00,0 days 01:42:22,10
26,Male,Junior,0 days 01:42:23,0 days 01:49:03,9
26,Male,Junior,0 days 01:49:04,0 days 01:56:25,8
26,Male,Junior,0 days 01:56:26,0 days 02:05:07,7
26,Male,Junior,0 days 02:05:08,0 days 02:14:55,6
26,Male,Junior,0 days 02:14:56,0 days 02:26:31,5
26,Male,Junior,0 days 02:26:32,0 days 02:40:34,4
26,Male,Junior,0 days 02:40:35,0 days 02:57:58,3
26,Male,Junior,0 days 02:57:59,106751 days 23:47:16.854775807,1
26,Male,Senior,0 days 00:00:00,0 days 01:42:22,10
26,Male,Senior,0 days 01:42:23,0 days 01:49:03,9
26,Male,Senior,0 days 01:49:04,0 days 01:56:25,8
26,Male,Senior,0 days 01:56:26,0 days 02:05:07,7
26,Male,Senior,0 days 02:05:08,0 days 02:14:55,6
